video,anonymous_contact_sheet,bf07_vs_p4_visual_judgement,p4_vs_exp11_visual_judgement,notes
00fef116ee,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/00fef116ee.jpg,tie,tie_no_clear_gain,"Cyclist road scene; P4 and BF07 are nearly identical, no visible temporal or boundary improvement from BF07."
0b6db1c6fd,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/0b6db1c6fd.jpg,tie,tie_no_clear_gain,"Person/animal outdoor case; no stable BF07 advantage in mask texture or seam quality."
0d62fa582a,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/0d62fa582a.jpg,p4_better,tie_no_clear_gain,"Tiger/fence fine structure; BF07 is slightly softer on fence and stripe detail."
237c6ebaf4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/237c6ebaf4.jpg,tie,tie_no_clear_gain,"Horse/rider scene; P4 and BF07 look effectively identical on riders, horse legs, and boundary seams."
264ca20298,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/264ca20298.jpg,tie,tie_no_clear_gain,"Green texture scene; no robust BF07 visual improvement."
5e130392e1,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/5e130392e1.jpg,tie,tie_no_clear_gain,"Indoor perspective case; no clear difference in boundary or texture."
75a55907dc,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/75a55907dc.jpg,p4_better,tie_no_clear_gain,"Snow/ski case; BF07 is slightly more washed/soft at the object edge, with no temporal benefit visible in the sheet."
7eb9424a53,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/7eb9424a53.jpg,tie,tie_no_clear_gain,"Sky/action-cam case; P4 and BF07 are visually tied."
8467aa6c5c,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/8467aa6c5c.jpg,tie,tie_no_clear_gain,"Snowboard/skier scene; no clear BF07 improvement."
8473ae2c60,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/8473ae2c60.jpg,tie,tie_no_clear_gain,"Motorbike scene; BF07's better Ewarp does not translate into visible edge or flicker improvement in the contact sheet."
aeb9de8f66,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/aeb9de8f66.jpg,tie,tie_no_clear_gain,"Cycling/crowd scene; visual differences are negligible."
b5c525cb08,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/b5c525cb08.jpg,tie,tie_no_clear_gain,"High-contrast cloth/flag case; no stable BF07 visual advantage."
bb2245ab94,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/bb2245ab94.jpg,tie,tie_no_clear_gain,"Small animal/hand case; BF07 is locally sharper in one frame but inconsistent, so counted as tie."
d3b25a44b3,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/d3b25a44b3.jpg,p4_better,tie_no_clear_gain,"Deer/fence case; BF07 slightly softens thin fence structure."
d76e963754,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/d76e963754.jpg,tie,tie_no_clear_gain,"Indoor red/black structure; no clear P4/BF07 difference."
dbd729449a,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/dbd729449a.jpg,tie,tie_no_clear_gain,"Snow walking case; no stable difference."
e228ce16fd,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/e228ce16fd.jpg,p4_better,tie_no_clear_gain,"Fast small dog/person case; BF07 is slightly softer on foreground/board edges."
ea8a5b5a78,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/ea8a5b5a78.jpg,tie,tie_no_clear_gain,"Indoor sports/wide shot; no BF07 advantage visible."
f94cd39525,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/f94cd39525.jpg,tie,tie_no_clear_gain,"Stroller/dog shadow case; P4 and BF07 are nearly indistinguishable."
fc0db37221,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp20_autoresearch_scale_adaptive_region_dpo/exp20_bf07_p4_visuals/anonymous_contact_sheets/fc0db37221.jpg,tie,tie_no_clear_gain,"Dog/road case; no clear BF07 improvement."
