check,official_reference,wrapper_reference,result,notes
official_data_tuple,videox_fun/data/dataset_image_video.py:595-760,exp50_pai_void_adapter_feasibility/void_preference_wrapper/void_sft_wrapper.py:146-158,EXPLAINED_MATCH,"Official video_mask_tuple returns target_video as pixel_values, input_video as input_condition, quantized quadmask as mask, and text. Wrapper maps condition_path to condition, winner_path to target_video, and quadmask_0_path to dataset_mask."
quadmask_quantization,dataset_image_video.py:666-672,void_sft_wrapper.py:63-81,EXPLAINED_MATCH,"Both quantize to four values 0/63/127/255 using the same threshold bands, with wrapper operating after decoding/resizing."
mask_flip_semantics,dataset_image_video.py:630 plus train.py:1626-1653,void_sft_wrapper.py:150-155,EXPLAINED_MATCH,"Official dataset flips mask_video with 255-mask_video and train loop flips again with mask=1-mask before VAE mask encoding. Wrapper decodes the stored quadmask and applies train_loop_mask=1-dataset_mask before VAE mask encoding, matching the train-loop-facing semantics."
vae_target_latents,"train.py:1606-1625,1668","void_sft_wrapper.py:122-128,153,159",EXPLAINED_MATCH,"Both rearrange video tensors to B,C,F,H,W, sample from VAE encode, multiply by vae.config.scaling_factor, and rearrange latents to B,F,C,H,W."
inpaint_latents,train.py:1649-1666,void_sft_wrapper.py:154-158,EXPLAINED_MATCH_WITH_MINOR_SIMPLIFICATION,Both encode mask and condition/reference video through VAE and concatenate them before scaling/rearrange. Wrapper uses condition_latents directly and does not model t2v_flag random dropout or add_noise_to_reference_video branch; Exp50 official config path uses VOID pass1 inpaint with use_vae_mask.
noise_and_timestep,"train.py:1701-1707,1763",void_sft_wrapper.py:162-165,EXPLAINED_MATCH_CONTROLLED,"Official samples random noise and idx_sampling timesteps. Wrapper fixes seed and timestep for deterministic zero-gap/preference diagnostics, then calls scheduler.add_noise identically."
target_parameterization,train.py:1763-1769,void_sft_wrapper.py:166-172,STRICT_LOGIC_MATCH,"Both use noise for epsilon and scheduler.get_velocity(latents, noise, timesteps) for v_prediction. Loaded scheduler reports v_prediction in Exp50/Exp51."
transformer_forward,train.py:1771-1779,"void_sft_wrapper.py:226-241,290-299",EXPLAINED_MATCH,"Both pass noisy latents, prompt embeddings, timesteps, rotary embeddings, return_dict=False, and inpaint_latents into CogVideoXTransformer3DModel."
sft_loss_reduction,train.py:1781,void_sft_wrapper.py:241,STRICT_LOGIC_MATCH,"Both compute F.mse_loss(noise_pred.float(), target.float(), reduction='mean') for SFT parity."
deepspeed_role,"train_void.sh:15,47 and train.py:685,750-827",Exp50 single-process wrapper scripts,SINGLE_PROCESS_FORWARD_FAITHFUL,Official deepspeed is used by accelerate launcher/training-state orchestration. The core forward path does not require deepspeed for a one-batch single-process diagnostic.
