candidate,reviewer,novelty,correctness,feasibility,expected_gain,cost,br_or_generality,cross_backbone_generality,paper_clarity,review_risk,notes
C1_task_native_failure_data,A,4,4,4,4,3,5,5,4,3,"Best route beyond LocalDPO if task-native failures are measured."
C1_task_native_failure_data,B,3,4,4,4,3,5,5,4,3,"Data contribution; no theorem needed but preference assumptions must be validated."
C1_task_native_failure_data,C,4,4,4,4,3,5,5,4,3,"Feasible with Exp25/26 manifests and defect vector."
C1_task_native_failure_data,D,4,4,4,4,3,5,5,4,3,"Needs split discipline and LocalDPO baseline."
C1_task_native_failure_data,E,4,4,4,4,3,5,5,4,3,"Potentially acceptable if not just random LocalDPO."
C2_restoration_regions,A,4,4,5,4,2,5,5,5,3,"Good inpainting-specific distinction."
C2_restoration_regions,B,3,4,5,4,2,5,5,4,3,"Gradient allocation claim is safe; stronger theory absent."
C2_restoration_regions,C,4,4,5,4,2,5,5,5,2,"Lowest implementation risk."
C2_restoration_regions,D,4,4,5,4,2,5,5,5,2,"Ablations straightforward."
C2_restoration_regions,E,3,4,5,3,2,5,5,4,3,"Needs evidence it is more than weighted MSE."
C3_region_sdpo,A,2,3,3,3,4,4,4,3,4,"SDPO prior owns main idea."
C3_region_sdpo,B,2,2,3,3,4,4,4,3,5,"No guarantee with current LoVI transforms."
C3_region_sdpo,C,2,3,3,3,4,4,4,3,4,"Autograd/DDP risk."
C3_region_sdpo,D,2,3,3,3,4,4,4,3,4,"Should be objective ablation."
C3_region_sdpo,E,2,3,3,3,4,4,4,3,5,"Not enough as main contribution."
C4_stage_aware,A,4,4,3,4,4,4,4,4,3,"Could be distinctive but heavier."
C4_stage_aware,B,3,4,3,3,4,4,4,4,3,"Conceptual not theorem-heavy."
C4_stage_aware,C,3,4,3,4,4,4,4,4,3,"Needs runner infrastructure."
C4_stage_aware,D,4,4,3,4,4,4,4,4,3,"Good experimental question but costly."
C4_stage_aware,E,4,4,3,4,4,4,4,4,3,"Potentially acceptable if cross-stage evidence strong."
C5_saturation_utility,A,2,4,4,3,2,4,5,3,4,"Linear-DPO overlap high."
C5_saturation_utility,B,2,4,4,3,2,4,5,3,4,"Useful diagnostic."
C5_saturation_utility,C,2,4,3,3,3,4,5,3,4,"EMA adds save/load work."
C5_saturation_utility,D,2,4,4,3,2,4,5,3,4,"Keep as ablation."
C5_saturation_utility,E,1,4,4,3,2,4,5,3,5,"Not main novelty."
