experiment_id,experiment_name,short_name,status,machine,data_asset,source_domain,target_domain,manifest,train_task,train_mask_mode,mask_from_manifest,mask_area_range,prior_mode,loss_region_mode,beta_dpo,lose_gap_weight,winner_abs_reg_weight,winner_gap_reg_weight,winner_gap_reg_margin,sft_reg_weight,stage1_run_dir,stage2_run_dir,dpo_diag_csv,qual_dir,metric_dir,vbench_dir,conclusion,next_action
exp01,DiffuEraser reproduction / SFT / metric setting,diffueraser_reproduction_sft,historical_complete_registry_partial,HAL/H20/PAI historical,DiffuEraser official/SFT assets,DAVIS/YouTube-VOS-style inpainting,video inpainting,historical; see PRD/DPO_Project_Complete_Summary.md,DiffuEraser SFT/reproduction,partial/full depending eval,n/a,n/a,propainter for partial-mask inpainting; no-prior/noise for fullmask generation,SFT reconstruction,,,,,,SFT MSE,historical path backfill needed,historical path backfill needed,not DPO,historical qualitative path backfill needed,historical metrics path backfill needed,n/a for inpainting,"SFT-48000 is a strong YouTube-VOS-tuned baseline, not a naked base.",Keep as baseline reference; do not call converted_weights_step48000 ordinary base.
exp02,official VideoDPO / VC2 reproduction,official_videodpo_vc2,historical_complete_registry_partial_missing_diag,PAI/H20 historical,official VideoDPO pairs,VideoDPO,video generation preference reproduction,official VideoDPO manifest; path backfill needed,official VideoDPO VC2,full/video-generation,false,n/a,no ProPainter prior; generation task,official full-video,official/default,official/default,0,0,0,official/default,path backfill needed,path backfill needed,MISSING_DPO_DIAG,path backfill needed,path backfill needed,path backfill needed,Official pipeline sanity check.,Backfill artifacts if needed for provenance.
exp03,official VideoDPO framework with DiffuEraser replacement,official_videodpo_diffueraser,historical_complete_registry_partial_missing_diag,PAI/H20 historical,official VideoDPO pairs with DiffuEraser model bridge,VideoDPO,bridge sanity check,official VideoDPO manifest; path backfill needed,full-mask bridge / video-generation style,full,false,n/a,no ProPainter prior; fullmask bridge,full-video,historical/default,historical/default,0,0,0,historical/default,path backfill needed,path backfill needed,MISSING_DPO_DIAG,path backfill needed,path backfill needed,path backfill needed,DiffuEraser can be wired into VideoDPO; later failures are objective/data issues.,Backfill artifacts if needed.
exp04,Exp4 fullmask generated loser quality gate,fullmask_loser_failed_gate,failed_quality_gate_deleted_artifact,HAL evidence; PAI/H20 path missing,fullmask DiffuEraser generated losers from VideoDPO winners,VideoDPO,fullmask generated-loser diagnostic,not found; exp4-data reportedly deleted,planned data-only full-mask bridge; no official useful training,full,false,full frame,no-prior/noise; fullmask has no context,full-video,planned old default likely 500,planned 1.0,0,0,0,0,n/a,n/a,not applicable; failed before useful DPO,/home/hj/dpo-2-1-exp/exp4-data (deleted/missing),n/a,n/a,Generated fullmask losers were too poor; stopped as data negative evidence.,Do not continue Exp4; explain why partial-mask K=4 was introduced.
exp05_old,Old Exp5 D2 comp plain DPO beta500,old_d2_comp_plain_failed,failed_collapse_remote_diag_found,PAI remote artifacts,D2 partial-mask comp K=4 generated losers,VideoDPO,data-only bridge diagnostic,D2 selected_primary_comp.repaired.jsonl; exact PAI path pending,data-only full-mask bridge; model did not see partial mask,full,false,old D2 policy roughly 20-30% or larger; audit pending,no ProPainter prior for fullmask bridge,full-video,500,1.0,0,0,0,0,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260526_172044_exp5_d2_comp_k4_stage1_full,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260527_181634_exp5_d2_comp_k4_stage2_full,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260526_172044_exp5_d2_comp_k4_stage1_full/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260527_181634_exp5_d2_comp_k4_stage2_full/dpo_diagnostics.csv,/home/hj/dpo-2-1-exp/exp5; PAI qual path pending,PAI/H20 path pending,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/vbench_exp5/...,Collapsed: ranking can be satisfied while winner visual quality breaks.,Keep as failed DPO evidence; fetch remote dpo CSV if numeric tables are needed.
exp05_beta10,Exp5 beta10 plain D2 comp DPO,beta10_plain_failed,failed_collapse_remote_diag_found,PAI remote artifacts,D2 partial-mask comp K=4 generated losers,VideoDPO,beta-pressure diagnostic,D2 selected_primary_comp.repaired.jsonl; exact PAI path pending,data-only full-mask bridge; model did not see partial mask,full,false,old D2 policy roughly 20-30% or larger; audit pending,no ProPainter prior for fullmask bridge,full-video,10,1.0,0,0,0,0,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260530_134935_exp5_d2_comp_k4_beta10_s1s2_4000_stage1_beta10_4000,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260530_134935_exp5_d2_comp_k4_beta10_s1s2_4000_stage2_beta10_4000,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260530_134935_exp5_d2_comp_k4_beta10_s1s2_4000_stage1_beta10_4000/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260530_134935_exp5_d2_comp_k4_beta10_s1s2_4000_stage2_beta10_4000/dpo_diagnostics.csv,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/qual_sbs_30/exp5_d2_comp_k4_beta10_s1s2_4000_20260530_134935,PAI/H20 path pending,PAI/H20 path pending,Lower beta alone did not solve collapse; missing winner preservation was the core issue.,Use as bridge from Old Exp5 to New Exp5 winner-anchor.
exp05_new,New Exp5 D2 comp winner-gap regularized DPO,new_d2_comp_wingap_lose025,completed_improved_remote_diag_found_not_final,PAI remote artifacts,D2 partial-mask comp K=4 generated losers,VideoDPO,data-only bridge diagnostic,D2 selected_primary_comp.repaired.jsonl; exact PAI path pending,data-only full-mask bridge; model did not see partial mask,full,false,old D2 policy roughly 20-30% or larger; audit pending,no ProPainter prior for fullmask bridge,full-video,10,0.25,0.05,1.0,0.0,0,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260531_134817_exp5_d2_comp_k4_wingap_lose025_beta10_s1s2_4000_stage1,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260531_134817_exp5_d2_comp_k4_wingap_lose025_beta10_s1s2_4000_stage2,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260531_134817_exp5_d2_comp_k4_wingap_lose025_beta10_s1s2_4000_stage1/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260531_134817_exp5_d2_comp_k4_wingap_lose025_beta10_s1s2_4000_stage2/dpo_diagnostics.csv,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/qual_sbs_30/exp5_d2_comp_k4_wingap_lose025_beta10_s1s2_4000_20260531_134817; /home/hj/dpo-2-1-exp/new-exp5,PAI/H20 path pending,PAI/H20 path pending,Winner anchoring improved visual quality relative to Old Exp5 collapse but did not solve task mismatch.,Use as guardrail evidence; do not call final success.
exp06_new,New Exp6 D2 no-comp winner-gap regularized DPO,new_d2_nocomp_wingap_lose025,completed_h20_diag_local,H20,D2 partial-mask no-comp K=4 raw generated losers,VideoDPO,comp/no-comp diagnostic,/mnt/nas/hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_data_partialmask_loser_k4/manifests/selected_primary_nocomp.repaired.jsonl,data-only full-mask bridge; model did not see partial mask,full,false,old D2 policy roughly 20-30% or larger; audit pending,no ProPainter prior for fullmask bridge,full-video,10,0.25,0.05,1.0,0.0,0,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260601_004753_exp6_d2_nocomp_k4_wingap_lose025_beta10_s1s2_4000_stage1,/home/nvme01/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260601_004753_exp6_d2_nocomp_k4_wingap_lose025_beta10_s1s2_4000_stage2,reports/dpo_diag_snapshots/exp06_new_stage1_dpo_diagnostics.csv;reports/dpo_diag_snapshots/exp06_new_stage2_dpo_diagnostics.csv,/home/hj/dpo-2-1-exp/new-exp6; /home/nvme01/H20_Video_inpainting_DPO/logs/qual_sbs_30/exp6_d2_nocomp_k4_wingap_lose025_beta10_s1s2_4000_20260601_004753,H20 qual_sbs and prompt-length reports,path backfill pending,"New Exp6 is no-comp + winner anchoring, not plain Exp6; promising qualitative progress but not final.",Use for comp/no-comp story; do not rename as plain Exp6.
exp07_current,Exp7 current D2 partial-mask task gate,partialmask_task_current_failed,failed_or_suspicious_remote_diag_found,PAI/H20 NAS; HAL visual evidence,D2 comp manifest with generated partial masks,VideoDPO clips mostly static,partial-mask inpainting task alignment,/mnt/nas/hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_data_partialmask_loser_k4/manifests/selected_primary_comp.repaired.jsonl,true partial-mask inpainting,partial,true,old D2 policy; likely too large for current goal; audit pending,training uses manifest masks; eval tool currently appears no ProPainter prior,full,10,0.25,0.05,1.0,0.0,0,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260601_065618_exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_stage1,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260601_065618_exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_stage2,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage1/20260601_065618_exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_stage1/dpo_diagnostics.csv;/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/stage2/20260601_065618_exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_stage2/dpo_diagnostics.csv,/home/hj/dpo-2-1-exp/exp7-gate1500; /mnt/nas/hj/H20_Video_inpainting_DPO/logs/qual_sbs_30/exp7_d2_comp_k4_partial_wingap_lose025_beta10_s1s2_gate1500_20260601_065618,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/partialmask_eval/exp7_gate1500_20260601_131656/metrics; exp7_gate1500_20260602_000500/metrics,not used,"Task changed but quality is unstable; base also poor, so eval/prior/domain/mask must be audited before more DPO.",Run Exp7 small-mask + ProPainter-prior fix gate only after data check.
exp07_fix,Exp7 fix: VideoDPO small-mask 15-20 + ProPainter prior,fix_smallmask_prior,data_generation_running_h20,H20 launch candidate; PAI manual later,new non-overwriting VideoDPO small-mask generated losers,VideoDPO clips mostly static,partial-mask inpainting sanity before D3,data/generated_losers/exp07_fix_videodpo_smallmask15_20_prior_k4/manifests/selected_primary_comp.repaired.jsonl,Stage1-only partial-mask inpainting gate,partial,true,0.15-0.20,propainter required for partial-mask generation/eval,full,10,0.25 PAI/H20 main; 0.0 optional no-lose,0.05,1.0,0.0,0,pending; data generation running first,none; DPO Stage2 disabled,MISSING_DPO_DIAG,pending four-column visualization,pending inference/metrics.py true partial-mask eval,not used,Planned correction for Exp7 before expanding D3.,Monitor data generation; launch Stage1 only after selected_primary_comp manifest exists.
