rank,dataset,video,category,why_suitable,baseline_problem,exp11_improvement,remaining_defect,delta_psnr,delta_mask_psnr,delta_lpips,delta_tc,paper_ready,side_by_side,contact_sheet
1,DAVIS50,boat,boat/water boundary,strongest visual: cleaner wake/hull boundary,SFT-48000 在船身和尾浪附近有白雾/贴片感，水面纹理和 hull 边界不稳定。,Exp11 outer b0.75 S2 明显压掉白雾，水面纹理和船体边界更连续。,仍有轻微纹理平滑，但它是当前最强正例，适合主图。,1.4362,1.4362,n/a,n/a,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/DAVIS50__boat.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/DAVIS50__boat_frames.jpg
2,DAVIS50,rhino,animal boundary,foreground animal mask boundary improves,SFT-48000 在动物前景边界附近有涂抹和背景黏连。,Exp11 对 mask 外边界施加更强约束后，前景/背景分离更干净。,毛发/皮肤细节仍不是完美恢复，适合正例或补充图。,0.9862,0.9862,n/a,n/a,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/DAVIS50__rhino.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/DAVIS50__rhino_frames.jpg
3,DAVIS50,dog-agility,animal/sports motion,large metric gain and useful motion case,SFT-48000 在高速运动和细杆结构附近容易出现边界模糊。,Exp11 提升整体和 mask PSNR，运动边界更稳。,mask SSIM 曾有混合信号，适合做运动类正例但不要单独夸 SSIM。,0.7001,0.7001,n/a,n/a,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/DAVIS50__dog-agility.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/DAVIS50__dog-agility_frames.jpg
4,DAVIS50,lucia,person,subtle positive human case,SFT-48000 的人物区域补全较稳，但边界和局部纹理还有轻微不自然。,Exp11 有小幅但一致的 PSNR/mask PSNR 提升，人物边界更平顺。,视觉改善偏 subtle，适合补充材料。,0.3976,0.3976,n/a,n/a,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/DAVIS50__lucia.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/DAVIS50__lucia_frames.jpg
5,DAVIS50,blackswan,animal/water,mild positive water/animal boundary case,SFT-48000 在黑天鹅和水面交界处有轻微水纹/边界不连续。,Exp11 对水面和动物边界更稳，整体 PSNR 提升。,mask SSIM 混合，作为温和正例更合适。,0.4102,0.4102,n/a,n/a,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/DAVIS50__blackswan.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/DAVIS50__blackswan_frames.jpg
6,YouTubeVOS100,5b33c701ce,person/animal outdoor,"top YouTubeVOS gain candidate: dPSNR=5.018, dSSIM=0.0016, dLPIPS=0.0022",SFT-48000 在 person/animal outdoor 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 5.0176，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。 LPIPS 略差，作为定性图时需搭配 PSNR/SSIM 说明。,5.0176,5.0176,0.0022,0.0004,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__5b33c701ce.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__5b33c701ce_frames.jpg
7,YouTubeVOS100,8d55a5aebb,person/object indoor,"top YouTubeVOS gain candidate: dPSNR=3.358, dSSIM=0.0035, dLPIPS=0.0003",SFT-48000 在 person/object indoor 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 3.3585，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。 LPIPS 略差，作为定性图时需搭配 PSNR/SSIM 说明。,3.3585,3.3585,0.0003,-0.0001,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__8d55a5aebb.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__8d55a5aebb_frames.jpg
8,YouTubeVOS100,990d358980,person/animal foreground,"top YouTubeVOS gain candidate: dPSNR=2.912, dSSIM=0.0042, dLPIPS=-0.0015",SFT-48000 在 person/animal foreground 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 2.9119，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,2.9119,2.9119,-0.0015,-0.0000,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__990d358980.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__990d358980_frames.jpg
9,YouTubeVOS100,860c0a7cf8,urban people / street,"top YouTubeVOS gain candidate: dPSNR=2.237, dSSIM=0.0033, dLPIPS=-0.0047",SFT-48000 在 urban people / street 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 2.2368，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,2.2368,2.2368,-0.0047,-0.0021,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__860c0a7cf8.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__860c0a7cf8_frames.jpg
10,YouTubeVOS100,1e458b1539,person / water,"top YouTubeVOS gain candidate: dPSNR=1.956, dSSIM=0.0035, dLPIPS=-0.0008",SFT-48000 在 person / water 场景的 mask 区域容易出现局部模糊、贴片感或边界过渡不自然。,Exp11 在该视频上 whole/mask PSNR 均提升 1.9564，说明外边界加权对补洞区域和上下文连续性有帮助。,该样本已通过 contact sheet sanity review，但仍建议在论文图中逐帧确认语义是否自然。,1.9564,1.9564,-0.0008,-0.0000,yes,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/videos/YouTubeVOS100__1e458b1539.mp4,/home/hj/dpo-2-1-exp/final_20_visual_cases_for_paper/contact_sheets/YouTubeVOS100__1e458b1539_frames.jpg
