evidence_source,split,sample_id,source_group,diagnosis_class,visual_classification,visual_reason,comparison_strip
exp38_sft_dpo_rescue_R1_heldout13,heldout13,BLENDER_RIVER016_00001,BLENDER_RIVER016,R1_WORSE,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_RIVER016_00001/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,BLENDER_STREET006_00002,BLENDER_STREET006,R1_WORSE,TIE_NO_MEANINGFUL_CHANGE,Step10 changes are too small to support a visual win.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/BLENDER_STREET006_00002/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV103_00001_001_01,REAL_ENV103_00001,R1_GOOD_BUT_BOUNDARY_BAD,STEP10_LOCAL_TRADEOFF_NOT_BETTER,"Mask/full PSNR moves up, but boundary/outside or outside-MAE worsens; visual evidence does not support a clean improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00001_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV089_00001_001_01,REAL_ENV089_00001,R1_GOOD_BUT_BOUNDARY_BAD,STEP10_LOCAL_TRADEOFF_NOT_BETTER,"Mask/full PSNR moves up, but boundary/outside or outside-MAE worsens; visual evidence does not support a clean improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV089_00001_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV103_00002_001_02,REAL_ENV103_00002,R1_WORSE,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00002_001_02/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV103_00003_001_01,REAL_ENV103_00003,R1_WORSE,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00003_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV093_00001_001_01,REAL_ENV093_00001,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,TIE_LOCAL_NUMERIC_GAIN,"Small local/background cleanup is visible, but the difference is subtle and not enough to count as a clear visual win.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV093_00001_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV103_00004_001_01,REAL_ENV103_00004,R1_GOOD_BUT_BOUNDARY_BAD,STEP10_LOCAL_TRADEOFF_NOT_BETTER,"Mask/full PSNR moves up, but boundary/outside or outside-MAE worsens; visual evidence does not support a clean improvement.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV103_00004_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV095_00002_001_01,REAL_ENV095_00002,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,TIE_LOCAL_NUMERIC_GAIN,R1 gives mild local numeric movement without a clear strip-level visual improvement; not counted as better.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00002_001_01/step0_vs_step10_strip.jpg
exp38_sft_dpo_rescue_R1_heldout13,heldout13,REAL_ENV095_00003_001_01,REAL_ENV095_00003,R1_TIE,STEP10_SLIGHTLY_WORSE_OR_TRADEOFF,Step10 introduces local/global tradeoffs without a reliable quality gain.,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/sft_dpo_rescue_20260628/outputs/R1/heldout_outputs/REAL_ENV095_00003_001_01/step0_vs_step10_strip.jpg
